GeneSymbol	NumberPerfect	NumberImperfect	RejectPerfect	RejectPerfectNotes	RejectImperfect	RejectImperfectNotes. In cases where F=/, this lists acceptable forms.
ADAM12	39	1				
ADAM15	24	1				
ADAM17	1184	11				
ADAM19	3	1				
ADAM1A	0	1				
ADAM1B	0	1				
ADAM2	10	1				
ADAM20	1	0				
ADAM22	7	7				
ADAM23	5	0				
ADAM28	3	0				
ADAM29	6	0				
ADAM33	53	0				
ADAM7	2	0				
ADAM8	11	3				
ADAM9	27	0				
ADAMDEC1	5	0				
ADAMTS1	36	6				
ADAMTS10	9	1				
ADAMTS12	4	1				
ADAMTS13	395	6				
ADAMTS15	3	1				
ADAMTS17	3	0				
ADAMTS18	1	1				
ADAMTS19	0	5				
ADAMTS2	3	1				
ADAMTS20	4	1				
ADAMTS3	2	0				
ADAMTS4	6	2				
ADAMTS5	9	3				
ADAMTS7	7	4				
ADAMTS8	1	2				
ADAMTS9	6	2				
ADAMTSL2	2	2				
ADAMTSL4	1	0				
ADAP1	6	0				
ADAP2	133	8				
ADAR	308	15				
ADARB1	7	0				
ADARB2	2	0				
ADCY10	5	0				
ADCY3	4	0				
ADCY4	6	0				
ADCY5	2	0				
ADCY6	0	1				
ADCY7	4	0				
ADCY9	1	0				
ADCYAP1	3	15				
ADCYAP1R1	7	3				
ADD1	8	1				
ADD2	1	0				
ADD3	1	1				
ADGRE1	2	0				
ADGRE2	1	0				
ADGRE3	3	0				
ADGRE5	10	0				
ADGRG6	1	0				
ADGRV1	1	0				
ADH1A	1	0				
ADH1B	6	0				
ADH1C	9	0				
ADH4	4	0				
ADH5	1	16				
ADH6	1	0				
ADH7	10	1				
ADHFE1	1	2				
ADIPOQ	70	7				
ADIPOR1	7	69				
ADIPOR2	7	43				
ADK	99	14				
ADM	384	75	x	chemotherapy	x	
ADM2	28	4				
ADNP	49	5			x	
ADO	279	104	x	Adenosine	x	
ADORA1	15	10				
ADORA2A	4	5				
ADORA2B	2	5				
ADORA3	7	2				
ADPGK	11	0				
ADPRM	1	0				
ADPRS	0	1			x	
ADRA1A	3	2				
ADRA1B	3	2				
ADRA1D	1	2				
ADRA2A	7	0				
ADRA2C	0	1				
ADRB1	24	0				
ADRB2	88	6				
ADRB3	10	1				
ADRM1	23	0				
ADSL	30	2	x	modems, stem loops		
ADSS1	0	1				
AEBP1	2	3				
AEN	7	2			x	
AFAP1-AS1	1	0				
AFAP1L1	1	0				
AFAP1L2	1	0				
AFF1	1	0				
AFF2	4	1				
AFF3	1	0				
AFF4	1	0				
AFG3L2	2	0				
AFM	1421	0	x	Atomic force microscopy		
AFMID	1	0				
AFP	1428	10		Messy, but mostly gene		
AGA	1537	129	x	Mostly a codon	x	
AGAP1	1	0				
AGBL3	1	0				
AGBL5	1	0				
AGER	33	18			x	
AGK	1	1				
AGL	53	12			x	
AGMAT	1	1				
AGO1	148	46				
AGO2	413	325				
AGO3	13	16				
AGO4	33	11				
AGPAT1	1	0				
AGPAT2	4	0				
AGPAT3	5	0				
AGPAT4	3	0				
AGPAT5	1	0				
AGPS	9	565		Sometimes advanced GPS	x	
AGR2	68	14				
AGR3	0	7				
AGRN	5	0				
AGRP	10	96				
AGT	1058	62	x	Codon	x	
AGTR1	63	2				
AGTR2	34	8				
AGTRAP	2	0				
AGXT	12	0				
AHCY	5	2				
AHDC1	1	0				
AHI1	10	0				
AHNAK	13	0				
AHNAK2	1	0				
AHR	1610	1129	x	Airway Hyperresponsiveness	/	AhR
AHRR	17	28			/	AhRR Ahrr
AHSA1	4	0				
AHSG	191	3				
AHSP	25	0	x	Attentive Hierarchical Spatial Pyramid		
AICDA	45	9				
AIDA	37	58		Name, also software, messy	x	
AIF1	39	19				
AIFM1	52	1				
AIFM2	1	0				
AIFM3	1	0				
AIG1	3	0				
AIM2	466	11				
AIMP1	34	0				
AIMP2	9	0				
AIP	556	6	x	Acute interstitial pneumonia	x	
AIPL1	10	0				
AIRE	160	325			x	
AIRN	0	5				
AJUBA	1	1				
AK1	16	0				
AK2	25	0				
AK3	1	4				
AK4	3	0				
AK7	1	0				
AKAP1	2	1				
AKAP12	2	0				
AKAP13	23	0				
AKAP4	10	0				
AKAP6	6	0				
AKAP7	329	0				
AKAP8	3	0				
AKAP8L	5	0				
AKAP9	8	0				
AKIP1	1	0				
AKNA	0	8				
AKR1A1	8	1				
AKR1B1	8	1				
AKR1B10	12	1				
AKR1B15	4	1				
AKR1C1	7	6				
AKR1C2	1	3				
AKR1C3	34	7				
AKR1C4	0	4				
AKR1D1	2	3				
AKR1E2	0	1				
AKR7A2	1	1				
AKR7A3	0	1				
AKT1	170	109				
AKT1S1	3	0				
AKT2	56	27				
AKT3	47	9				
AKTIP	0	1				
ALAD	27	1			x	
ALAS1	20	0				
ALAS2	22	0				
ALB	470	493			x	
ALCAM	53	0				
ALDH18A1	1	0				
ALDH1A1	33	4				
ALDH1A2	3	1				
ALDH1A3	10	0				
ALDH1B1	4	0				
ALDH1L1	5	2				
ALDH2	108	3				
ALDH3A1	17	6				
ALDH3A2	9	1				
ALDH3B1	4	0				
ALDH3B2	2	0				
ALDH4A1	1	0				
ALDH5A1	3	0				
ALDH6A1	5	0				
ALDH7A1	8	1				
ALDH8A1	2	0				
ALDH9A1	6	0				
ALDOA	11	2				
ALDOB	25	0				
ALDOC	9	0				
ALG1	4	5				
ALG10	0	10				
ALG11	0	4				
ALG12	1	1				
ALG13	4	6				
ALG14	2	10				
ALG2	1	4				
ALG5	4	4				
ALG6	0	2				
ALG8	3	3				
ALG9	3	2				
ALK	667	58			x	
ALKBH1	2	0				
ALKBH2	1	0				
ALKBH3	3	0				
ALKBH5	21	5				
ALKBH8	28	112				
ALLC	1	0				
ALMS1	2	4				
ALOX12	11	15				
ALOX12B	18	12				
ALOX15	47	20				
ALOX15B	29	9				
ALOX5	75	15				
ALOX5AP	15	2				
ALOXE3	13	8				
ALPI	4	0				
ALPK2	3	0				
ALPK3	1	0				
ALPL	21	5				
ALPP	32	0	x	acronyms		
ALS2	2	2				
ALX1	1	0				
ALYREF	1	0				
AMACR	90	3				
AMBP	11	0				
AMBRA1	36	161				
AMD1	12	0				
AMELY	6	0				
AMER1	1	0				
AMFR	11	0				
AMH	540	3			x	
AMHR2	2	3				
AMIGO2	8	1				
AMN	71	1	x	Adrenomyeloneuropathy	x	
AMN1	8	0				
AMPD1	4	0				
AMPD2	2	0				
AMPD3	1	0				
AMPH	11	52	x	Amphetamine	x	
AMT	307	121	x	acronyms	x	
AMTN	0	1			x	
AMY1A	2	0				
AMY2A	1	0				
AMY2B	1	0				
AMZ1	5	0				
ANAPC1	1	0				
ANAPC10	2	0				
ANAPC11	2	0				
ANAPC13	1	0				
ANAPC4	2	0				
ANAPC5	1	0				
ANG	219	1353		Kind of a mess, confusion with ANG II	x	
ANGEL2	0	1				
ANGPT1	106	7				
ANGPT2	258	8				
ANGPT4	7	1				
ANGPTL1	1	0				
ANGPTL2	11	4				
ANGPTL3	55	11				
ANGPTL4	140	11				
ANGPTL5	1	0				
ANGPTL6	1	0				
ANGPTL8	13	1				
ANK1	4	0				
ANK2	0	7				
ANKFN1	1	0				
ANKFY1	3	29				
ANKH	0	1			x	
ANKLE2	1	0				
ANKRA2	3	0				
ANKRD1	10	0				
ANKRD11	3	0				
ANKRD17	1	1				
ANKRD2	2	1				
ANKRD22	5	0				
ANKRD26	2	0				
ANKRD27	1	0				
ANKRD28	1	0				
ANKRD30A	1	0				
ANKRD33	1	0				
ANKRD37	0	2				
ANKRD7	1	0				
ANKS1A	2	0				
ANKZF1	1	0				
ANLN	2	0				
ANO1	47	14				
ANO2	2	0				
ANO3	1	0				
ANO4	1	0				
ANO5	2	0				
ANO6	0	4				
ANO9	1	0				
ANOS1	2	0				
ANP32A	13	0				
ANPEP	402	77				
ANTXR1	4	0				
ANTXR2	10	0				
ANTXRL	0	1				
ANXA1	74	233				
ANXA11	2	0				
ANXA13	1	0				
ANXA2	162	5				
ANXA3	4	1				
ANXA4	14	3				
ANXA5	27	13				
ANXA6	19	26				
ANXA8	10	2				
AOAH	8	0				
AOC3	4	0				
AOX1	49	4				
AP1B1	4	0				
AP1G1	6	0				
AP1G2	2	0				
AP1M1	2	1				
AP1M2	4	1				
AP1S1	2	2				
AP1S2	0	1				
AP1S3	10	0				
AP2A1	5	0				
AP2A2	11	1				
AP2B1	1	0				
AP2M1	23	0				
AP2S1	1	0				
AP3B1	20	0				
AP3B2	1	0				
AP3D1	3	1				
AP3M1	2	0				
AP3M2	1	0				
AP3S1	1	0				
AP3S2	1	0				
APAF1	41	9				
APBB1	2	0				
APBB1IP	5	0				
APC	4224	74	x	messy. antigen processing cells	/	aPC
APC2	13	0				
APCDD1	1	0				
APCS	9	3440			x	
APEH	4	0				
APELA	0	4			x	
APEX1	7	1				
APEX2	13	0				
APH1A	5	2				
APH1B	1	5				
API5	145	0				
APIP	16	0				
APLF	39	0				
APLN	1	4				
APLNR	2	2				
APLP1	0	1				
APLP2	5	4				
APOA1	69	82				
APOA2	25	10				
APOA4	28	10				
APOA5	25	4				
APOB	89	253				
APOBEC1	25	3				
APOBEC2	1	7				
APOBEC3A	41	1				
APOBEC3B	17	0				
APOBEC3C	6	0				
APOBEC3D	2	0				
APOBEC3F	47	1				
APOBEC3G	449	3				
APOBEC3H	13	0				
APOC1	38	10				
APOC1P1	5	0				
APOC2	15	9				
APOC3	33	25				
APOC4	2	1				
APOD	16	1061				
APOE	343	681				
APOF	6	0				
APOH	7	16				
APOL1	87	14				
APOL2	11	4				
APOL3	2	0				
APOL4	1	1				
APOL5	1	1				
APOL6	6	14				
APOM	40	51				
APP	2203	5838		Messy, but lots of correct hits too.	x	
APPBP2	1	0				
APPL1	20	0				
APPL2	3	0				
APRT	16	2			x	
APTR	22	7			x	
APTX	5	0				
AQP1	176	14				
AQP10	3	0				
AQP11	3	0				
AQP2	95	19				
AQP3	81	4				
AQP4	316	14				
AQP5	94	13				
AQP6	23	0				
AQP7	13	1				
AQP8	19	4				
AQP9	34	3				
AQR	6	0	x	acronym		
AR	1131	1061	x	so many acronyms	x	
ARAF	3	17			x	
ARAP1	5	1				
ARAP2	1	0				
ARC	614	1278	x	allergic rhinoconjunctivitis	x	
ARCN1	11	0				
AREG	87	17				
AREL1	1	5				
ARF1	286	465				
ARF2P	0	1				
ARF3	16	22				
ARF4	33	40				
ARF5	12	22				
ARF6	140	119				
ARFGAP1	9	4				
ARFGAP2	2	2				
ARFGAP3	2	0				
ARFGEF2	1	6				
ARFIP1	1	0				
ARFRP1	45	14				
ARG1	71	151				
ARG2	15	7				
ARGLU1	2	0				
ARHGAP10	1	0				
ARHGAP12	1	0				
ARHGAP15	6	0				
ARHGAP17	1	0				
ARHGAP19-SLIT1	2	0				
ARHGAP21	3	2				
ARHGAP24	99	0				
ARHGAP26	1	0				
ARHGAP29	3	0				
ARHGAP31	1	0				
ARHGAP32	1	0				
ARHGAP4	2	0				
ARHGAP9	3	0				
ARHGDIA	2	0				
ARHGDIB	9	0				
ARHGEF10	5	0				
ARHGEF10L	2	0				
ARHGEF12	4	0				
ARHGEF18	1	0				
ARHGEF2	3	0				
ARHGEF28	1	0				
ARHGEF6	1	0				
ARHGEF7	3	0				
ARHGEF9	5	0				
ARID1A	55	0				
ARID1B	17	0				
ARID2	91	0				
ARID3A	12	0				
ARID4A	0	1				
ARID4B	3	0				
ARID5A	4	0				
ARIH2	3	1				
ARL1	69	4				
ARL11	1	0				
ARL13A	5	0				
ARL13B	31	12				
ARL14EP	1	0				
ARL17A	1	0				
ARL2	111	0				
ARL2BP	1	0				
ARL3	71	2				
ARL4A	13	0				
ARL4C	10	0				
ARL4D	7	0				
ARL5B	2	0				
ARL6	25	0				
ARL6IP1	7	10				
ARL6IP5	1	0				
ARL6IP6	1	0				
ARL8A	1	0				
ARL8B	10	0				
ARL9	1	0				
ARMC3	0	2				
ARMCX3	0	1				
ARMS2	10	0				
ARNT	56	3			x	
ARNT2	3	0				
ARNTL	6	3				
ARPC1A	3	0				
ARPC1B	33	2				
ARPC2	21	2				
ARPC3	2	0				
ARPC4	3	0				
ARPIN	0	23				
ARRB1	8	0				
ARRB2	8	0				
ARRDC1	13	0				
ARRDC3	26	1				
ARRDC4	1	0				
ARSA	27	5			/	arsA ArsA 
ARSB	25	6				
ARSC2	0	3				
ARSD	7	1				
ARSH	0	5				
ARSI	6	2	x	androgen receptor signaling inhibitors	x	
ART1	7	0				
ART3	2	1				
ART4	2	0				
ARV1	9	0				
ARX	23	29	x	autoregression with exogenous agent	x	
AS3MT	1	0				
ASAH1	3	34				
ASAH2	0	1				
ASAP1	25	0				
ASAP2	3	0				
ASAP3	3	0				
ASB1	1	1				
ASB14	1	0				
ASB2	2	0				
ASB7	3	0				
ASB9	9	0				
ASCC1	1	0				
ASCC2	1	0				
ASCC3	1	0				
ASCL1	15	4				
ASCL2	6	5				
ASCL3	5	0				
ASGR1	7	0				
ASGR2	4	0				
ASH1L	1	3				
ASIC1	11	0				
ASIC2	2	0				
ASIC3	14	2				
ASIP	15	40				
ASL	1483	87	x	airway surface layer, lots of italian acronyms, etc	x	
ASMT	7	0				
ASNS	29	10			x	
ASPA	46	17				
ASPH	32	0	x	Association of Schools of Public Health		
ASPM	22	7				
ASPN	7	32			x	
ASPRV1	1	0				
ASRGL1	1	0				
ASS1	33	16				
ASTL	0	1			x	
ASXL1	48	0				
ASXL2	7	0				
ASXL3	2	0				
ASZ1	2	0				
ATAD5	1	0				
ATCAY	0	2				
ATE1	14	0				
ATF1	15	1				
ATF2	56	0				
ATF3	274	21				
ATF4	914	15				
ATF5	9	1				
ATF6	1081	1				
ATF6B	1	0				
ATF7IP	0	1				
ATG10	28	41				
ATG101	25	11				
ATG12	258	171				
ATG13	161	72				
ATG14	41	45				
ATG16L1	364	149				
ATG16L2	3	2				
ATG2A	8	2				
ATG2B	3	2				
ATG3	109	132				
ATG4A	15	3				
ATG4B	66	53				
ATG4C	9	2				
ATG4D	15	1				
ATG5	703	775				
ATG7	443	315				
ATG9A	23	9				
ATG9B	2	2				
ATIC	12	100			x	
ATL1	1	0				
ATL3	5	0				
ATM	981	226		Very messy, but lots of real hits	x	atmosphere
ATOH1	0	1				
ATOX1	2	14				
ATP binding	1	0				
ATP10B	3	1				
ATP11A	10	0				
ATP11B	1	0				
ATP11C	1	0				
ATP12A	8	0				
ATP13A2	11	3				
ATP13A3	1	0				
ATP1A1	262	4				
ATP1A2	9	1				
ATP1A3	25	4				
ATP1A4	1	0				
ATP1B1	11	1				
ATP1B3	209	4				
ATP1B4	1	0				
ATP23	1	0				
ATP2A1	4	2				
ATP2A2	5	7				
ATP2A3	2	0				
ATP2B1	8	0				
ATP2B2	4	14				
ATP2B4	14	0				
ATP2C1	2	0				
ATP5ME	1	0				
ATP6AP1	13	0				
ATP6AP2	9	2				
ATP6V0A2	7	0				
ATP6V0A4	3	0				
ATP6V0B	5	1				
ATP6V0C	46	0				
ATP6V0D1	13	0				
ATP6V0D2	3	5				
ATP6V0E1	8	0				
ATP6V0E2	4	0				
ATP6V1A	17	0				
ATP6V1B1	14	2				
ATP6V1B2	16	0				
ATP6V1C1	6	0				
ATP6V1D	3	0				
ATP6V1E1	5	0				
ATP6V1E2	3	0				
ATP6V1F	7	0				
ATP6V1G1	6	0				
ATP6V1G2	1	0				
ATP6V1G3	0	1				
ATP6V1H	5	2				
ATP7A	89	4				
ATP7B	98	4				
ATP8B1	41	2				
ATP8B2	1	0				
ATP8B4	1	0				
ATPAF1	1	0				
ATR	482	14		Messy, but lots of good hits		
ATRIP	5	4			x	
ATRN	1	35				
ATRNL1	1	0				
ATRX	66	1				
ATXN1	6	2				
ATXN10	3	1				
ATXN2	3	0				
ATXN3	44	1				
ATXN3L	1	1				
ATXN7L1	1	0				
ATXN8	6	0				
ATXN8OS	4	0				
AUH	4	11			x	
AUP1	12	1				
AURKA	83	7				
AURKB	63	6				
AURKC	3	0				
AUTS2	5	1				
AVEN	2	21			x	
AVIL	2	4			x	
AVL9	2	0				
AVP	679	53				
AVPR1A	2	2				
AVPR1B	1	0				
AVPR2	10	0				
AXIN1	19	9				
AXIN2	20	27				
AXL	238	405				
AZGP1	3	1				
AZI2	21	0				
AZIN1	8	0				
AZU1	33	0				
Acute Leukemia	0	1				
Acute leukemia	0	1				
All	0	1				
B2M	314	109				
B3GALNT1	5	0				
B3GALNT2	3	1				
B3GALT4	1	2				
B3GALT6	1	0				
B3GAT1	3	0				
B3GAT3	2	0				
B3GNT3	1	0				
B3GNT5	3	0				
B3GNT7	1	0				
B4GALNT1	11	1				
B4GALNT2	7	1				
B4GALNT4	22	0				
B4GALT1	4	2				
B4GALT3	1	1				
B4GALT4	0	1				
B4GALT5	4	0				
B4GALT6	1	3				
B4GALT7	2	0				
B9D2	32	0				
BAALC	43	0				
BAAT	16	18			x	
BACE1	160	4				
BACE1-AS	4	0				
BACE2	14	18				
BACH1	18	10				
BACH2	8	0				
BAD	127	4466			x	
BAG1	11	4				
BAG2	2	1				
BAG3	633	53				
BAG4	1	0				
BAG5	1	9				
BAG6	244	29				
BAGE	3	10			x	
BAGE2	1	0				
BAHD1	13	0				
BAIAP2	7	0				
BAK1	16	3				
BAMBI	22	8			x	
BANCR	1	0				
BANF1	4	0				
BANK1	7	0				
BAP1	143	14				
BARD1	12	1				
BARX2	1	0				
BASP1	3	0				
BATF	26	14				
BATF2	10	0				
BATF3	7	24				
BAX	191	1709				
BAZ1A	4	1				
BAZ1B	1	0				
BAZ2A	2	0				
BBC3	9	17				
BBOX1	3	1				
BBS1	2	8				
BBS10	1	0				
BBS2	4	0				
BBS4	4	1				
BBX	1	7			x	
BCAM	17	0				
BCAN	6	5			x	
BCAP31	7	0				
BCAR1	1	0				
BCAR4	2	0				
BCAT1	7	0				
BCAT2	10	1				
BCCIP	2	0				
BCHE	7	173				
BCKDHA	6	0				
BCKDHB	4	0				
BCKDK	64	0				
BCL10	33	20				
BCL11A	148	7				
BCL11B	31	20				
BCL2	296	389				
BCL2A1	16	3				
BCL2L1	25	5				
BCL2L10	3	0				
BCL2L11	21	1				
BCL2L12	8	2				
BCL2L13	8	6				
BCL2L14	5	1				
BCL2L15	3	1				
BCL2L2	13	0				
BCL3	30	26				
BCL6	148	43				
BCL6B	0	4				
BCL7B	1	0				
BCL9	3	1				
BCL9L	1	0				
BCLAF1	15	7				
BCO1	4	0				
BCOR	20	2			x	
BCORL1	2	0				
BCR	1114	97				
BCRP1	1	3				
BCS1L	8	0				
BDH1	1	0				
BDKRB1	17	0				
BDKRB2	11	0				
BDNF	852	2				
BDNF-AS	2	0				
BDP1	1	1				
BECN1	300	30				
BECN2	0	2				
BEGAIN	0	1			x	
BEND3	0	5				
BEND7	1	0				
BEST1	17	1				
BEST2	3	0				
BEST4	4	0				
BET1	6	3				
BET1L	2	0				
BFAR	2	1			x	
BFSP1	1	0				
BGLAP	3	5				
BGN	75	2		messy, several acronyms, but some good hits		
BHLHE40	3	6				
BHLHE41	3	0				
BHMT	16	0				
BHMT2	1	0				
BICC1	1	0				
BICD1	0	2				
BICD2	11	0				
BID	1288	1551	x	bis in die" which in Latin means twice a day	x	
BIK	110	57				
BIN1	34	0				
BIN2	1	2				
BIN3	1	2				
BIRC2	11	4				
BIRC3	37	15				
BIRC5	22	6				
BIRC7	2	0				
BIRC8	1	1				
BISPR	11	0				
BLCAP	1	0				
BLK	34	12				
BLM	432	1	x	Bleomycin	x	
BLMH	8	2				
BLNK	22	0				
BLOC1S1	1	1				
BLOC1S2	1	0				
BLOC1S3	1	0				
BLOC1S4	1	0				
BLOC1S6	3	0				
BLVRA	115	0				
BLZF1	2	0				
BMF	104	27	x	Bone Marrow Failure		
BMI1	45	36				
BMP1	2	3				
BMP10	21	0				
BMP15	12	0				
BMP2	125	2				
BMP2K	10	2				
BMP3	5	0				
BMP4	157	15				
BMP5	3	1				
BMP6	14	2				
BMP7	79	3				
BMP8A	0	1				
BMP8B	13	2				
BMPER	5	1				
BMPR1A	16	9				
BMPR1B	3	4				
BMPR2	93	1				
BMX	5	17			x	
BNIP3	67	142				
BNIP3L	23	3				
BNIPL	1	0				
BOC	35	194	x	Mostly other acronyms	x	
BOD1L1	1	0				
BOK	10	86			x	
BOLA1	3	0				
BOLA2	3	0				
BOLL	0	36			x	
BOP1	2	6				
BORA	0	33			x	
BPGM	9	0				
BPHL	5	0	x	Bicol Public Health Laboratory		
BPI	346	5			x	
BPIFA1	10	0				
BPIFA2	3	0				
BPIFB1	8	7				
BPIFB2	5	2				
BPIFB3	2	0				
BPIFB4	3	0				
BPIFB6	2	0				
BPTF	7	0				
BRAF	836	24				
BRAFP1	1	0				
BRCA1	504	1				
BRCA2	235	3				
BRCC3	11	0				
BRD1	22	0				
BRD2	55	1				
BRD3	36	7				
BRD4	193	8				
BRD7	2	0				
BRD8	1	0				
BRD9	1	0				
BRDT	5	0				
BRF1	6	0				
BRF2	0	2				
BRI3	4	2				
BRI3BP	2	2				
BRINP3	1	0				
BRIP1	1	0				
BRK1	1	0				
BRMS1	15	0				
BROX	0	9			x	
BRPF1	0	1				
BRSK1	1	0				
BRWD1	2	0				
BRWD3	4	0				
BSCL2	12	1				
BSG	445	8		Messy	x	
BSN	45	142	x	Bachelor of Science in Nursing		
BSND	10	3				
BSPH1	3	1				
BST1	4	0				
BST2	732	21				
BTBD6	1	0				
BTBD7	3	0				
BTC	74	8		Pretty bad?		
BTD	31	0	x	multiple acronyms		
BTF3	21	0				
BTG1	5	1				
BTG2	7	5				
BTK	403	140				
BTLA	84	0				
BTN1A1	0	11				
BTN2A1	5	0				
BTN2A2	1	0				
BTN3A1	16	0				
BTN3A2	5	0				
BTN3A3	35	0				
BTNL2	7	1				
BTNL8	1	0				
BTRC	6	0				
BUB1	8	2				
BUB1B	6	1				
BUB3	16	2				
BVES	9	0				
BZW2	13	0				
C10orf99	3	1				
C11orf65	0	2				
C11orf87	1	0				
C12orf29	1	0				
C12orf4	1	59				
C15orf48	1	0				
C19orf12	2	3				
C19orf48	2	0				
C19orf71	1	0				
C1D	1	0				
C1GALT1	15	7				
C1GALT1C1	4	0				
C1GALT1C1L	1	0				
C1QA	11	12				
C1QB	18	11				
C1QBP	53	19				
C1QC	11	6				
C1QL1	0	1				
C1QL2	0	2				
C1QTNF1	1	0				
C1QTNF3	4	0				
C1QTNF5	1	0				
C1QTNF6	1	1				
C1QTNF7	3	0				
C1R	29	98				
C1RL	1	0				
C1S	37	217				
C1orf174	1	0				
C1orf198	5	0				
C2	562	65	x			
C2CD2	1	0				
C2orf69	1	0				
C3	918	27	x			
C3AR1	10	11				
C3P1	1	0				
C4A	51	110				
C4B	47	297				
C4BPA	18	0				
C4BPB	1	0				
C5	511	10	x			
C5AR1	5	82				
C5AR2	1	29				
C5orf49	2	0				
C5orf51	1	0				
C6	241	1	x			
C6orf47	1	0				
C7	159	1	x			
C8A	7	3				
C8B	13	4				
C8G	2	1				
C9	134	1	x			
C9orf64	1	0				
C9orf72	66	25				
CA1	411	46				
CA10	26	1				
CA11	1	0				
CA12	5	10				
CA13	10	0				
CA14	2	0				
CA2	123	259				
CA3	201	14				
CA3-AS1	1	0				
CA4	45	3				
CA5B	20	1				
CA5BP1	3	0				
CA6	22	0				
CA7	11	0				
CA8	1	0				
CA9	97	7				
CAB39	2	0				
CABP1	0	9				
CABP2	2	2				
CABYR	2	0				
CACNA1A	6	7				
CACNA1B	0	1				
CACNA1C	16	0				
CACNA1D	6	0				
CACNA1F	2	0				
CACNA1H	1	0				
CACNA1S	13	0				
CACNA2D1	1	0				
CACNA2D2	2	5				
CACNB1	1	0				
CACNB2	6	0				
CACNB4	1	0				
